fecha,clave,tienda,nombre,precio,disponible,url
2026-08-12 10:15,pokemon 30th anniversary celebration original partner card s,Reino de Cartas,Pokémon 30th Anniversary Celebration Original Partner Card Set Vol. 1 (Chino),,True,https://reinodecartas.com/tienda-tcg/pokemon-tcg/pokemon-30th-anniversary-celebration-original-partner-card-set-vol-1-chino/
2026-08-12 10:15,Caja 36 · 30 Aniversario · CHINO,Reino de Cartas,Pokémon 30th Anniversary Celebration Original Partner Card Set Vol. 1 | Display (Chino),,True,https://reinodecartas.com/tienda-tcg/pokemon-tcg/pokemon-30th-anniversary-celebration-original-partner-card-set-vol-1-display-chino/
2026-08-12 10:15,Blister · Heroes Ascendentes · ES,OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Charmander,"24,95 €",True,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-charmander/
2026-08-12 10:15,Blister · Heroes Ascendentes · ES,OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Gastly,"24,95 €",True,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-gastly/
2026-08-12 10:15,Blister · Heroes Ascendentes · ES,OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Komala,"17,95 €",True,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-komala/
2026-08-12 10:15,Blister · Heroes Ascendentes · ES,OZ Juegos,Pokémon – Blister Héroes Ascendentes Español – Tangela,"17,95 €",True,https://ozjuegos.com/producto/pokemon-blister-heroes-ascendentes-espanol-tangela/
2026-08-12 10:15,pokemon 151 first partner gift box squirtle (chino),Reino de Cartas,Pokémon 151 First Partner Gift Box Squirtle (Chino),"229,99 €",True,https://reinodecartas.com/tienda-tcg/pokemon-tcg/pokemon-151-first-partner-gift-box-squirtle-chino/
2026-08-12 10:15,pokemon 151 first partner gift box bulbasaur (chino),Reino de Cartas,Pokémon 151 First Partner Gift Box Bulbasaur (Chino),"229,99 €",True,https://reinodecartas.com/tienda-tcg/pokemon-tcg/pokemon-151-first-partner-gift-box-bulbasaur-chino/
2026-08-12 10:15,Coleccion Ilustracion · First Partner Serie 2 · ES,Reino de Cartas,First Partner Illustration Collection Series 2 (Español),"29,99 €",True,https://reinodecartas.com/tienda-tcg/pokemon-tcg/first-partner-illustration-collection-series-2-espanol/
2026-08-12 10:15,Coleccion Ilustracion · First Partner Serie 3 · ES,Flash Store,First Partner Illustration Collection Series 3,"35,90 €",True,https://flashstore.es/producto/first-partner-illustration-collection-series-3/
